condition,n_conversations,n_units,sd,b,sv,%,aa,ba,qy,x,ny,fc,qw,nn,bk,h,fo,bh,^q,bf,na,ad,^2,qo,qh,^h,ng,br,fp,qrr,arp,t3,oo,aap,bd,t1,^g,fa,ft,ar,no
SB,1155,223606,0.3865996440,0.1752457447,0.1415167750,0.0720776723,0.0504145685,0.0219135444,0.0289795444,0.0166811266,0.0136132304,0.0119003962,0.0097224583,0.0061760418,0.0058629912,0.0057109380,0.0068871139,0.0047762582,0.0047315367,0.0049014785,0.0040025760,0.0036850532,0.0036358595,0.0030410633,0.0029471481,0.0025804317,0.0014266165,0.0013729506,0.0010062342,0.0010285949,0.0010107063,0.0005277139,0.0005411304,0.0004785203,0.0004785203,0.0004740481,0.0004203823,0.0003533000,0.0003533000,0.0015920861,0.0013327013
C1-P0,50,1040,0.2500000000,0.0000000000,0.3298076923,0.0000000000,0.0144230769,0.0086538462,0.0990384615,0.0000000000,0.0000000000,0.1144230769,0.0682692308,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0028846154,0.0000000000,0.0548076923,0.0048076923,0.0009615385,0.0009615385,0.0000000000,0.0509615385,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
C1-P1,50,823,0.2794653706,0.0000000000,0.3317132442,0.0000000000,0.0194410693,0.0109356015,0.0972053463,0.0000000000,0.0000000000,0.1336573512,0.0558930741,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0012150668,0.0000000000,0.0571081409,0.0048602673,0.0000000000,0.0000000000,0.0000000000,0.0085054678,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
C1-P2,50,870,0.2620689655,0.0000000000,0.2735632184,0.0000000000,0.0218390805,0.0241379310,0.0896551724,0.0000000000,0.0000000000,0.1448275862,0.0758620690,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0022988506,0.0000000000,0.0034482759,0.0011494253,0.0505747126,0.0045977011,0.0000000000,0.0011494253,0.0011494253,0.0436781609,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
C2-P0,50,1590,0.1339622642,0.0012578616,0.6798742138,0.0000000000,0.0238993711,0.0018867925,0.0226415094,0.0000000000,0.0000000000,0.0289308176,0.0226415094,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0006289308,0.0006289308,0.0000000000,0.0037735849,0.0000000000,0.0163522013,0.0006289308,0.0000000000,0.0000000000,0.0000000000,0.0628930818,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
C2-P1,50,1488,0.2862903226,0.0000000000,0.3608870968,0.0000000000,0.0215053763,0.0067204301,0.0779569892,0.0000000000,0.0000000000,0.0463709677,0.0745967742,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0006720430,0.0000000000,0.0000000000,0.0080645161,0.0000000000,0.0477150538,0.0020161290,0.0000000000,0.0000000000,0.0000000000,0.0672043011,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
C2-P2,50,1485,0.2835016835,0.0006734007,0.3488215488,0.0000000000,0.0255892256,0.0060606061,0.0956228956,0.0000000000,0.0000000000,0.0343434343,0.0902356902,0.0000000000,0.0000000000,0.0006734007,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0074074074,0.0000000000,0.0363636364,0.0020202020,0.0000000000,0.0006734007,0.0000000000,0.0673400673,0.0000000000,0.0000000000,0.0000000000,0.0006734007,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
C3-P0,50,1144,0.1459790210,0.0000000000,0.4554195804,0.0000000000,0.0104895105,0.0026223776,0.0716783217,0.0000000000,0.0000000000,0.1241258741,0.0506993007,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0026223776,0.0017482517,0.0000000000,0.0096153846,0.0000000000,0.0358391608,0.0017482517,0.0000000000,0.0000000000,0.0000000000,0.0874125874,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
C3-P1,50,967,0.1944157187,0.0000000000,0.3381592554,0.0000000000,0.0062047570,0.0041365047,0.1199586350,0.0000000000,0.0000000000,0.1240951396,0.0651499483,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0010341262,0.0000000000,0.0351602896,0.0082730093,0.0000000000,0.0000000000,0.0000000000,0.1034126163,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
C3-P2,50,1044,0.1609195402,0.0009578544,0.4099616858,0.0000000000,0.0067049808,0.0019157088,0.1101532567,0.0000000000,0.0000000000,0.1178160920,0.0478927203,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0009578544,0.0000000000,0.0000000000,0.0028735632,0.0000000000,0.0392720307,0.0047892720,0.0000000000,0.0000000000,0.0000000000,0.0957854406,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
C4-P0,50,1274,0.1357927786,0.0000000000,0.5392464678,0.0000000000,0.0117739403,0.0039246468,0.0447409733,0.0000000000,0.0000000000,0.0941915228,0.0494505495,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0007849294,0.0000000000,0.0054945055,0.0000000000,0.0282574568,0.0070643642,0.0007849294,0.0000000000,0.0000000000,0.0784929356,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
C4-P1,50,1021,0.1870714985,0.0000000000,0.3819784525,0.0000000000,0.0097943193,0.0019588639,0.0969637610,0.0000000000,0.0000000000,0.1263467189,0.0528893242,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0029382958,0.0000000000,0.0352595495,0.0068560235,0.0000000000,0.0000000000,0.0000000000,0.0979431929,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
C4-P2,50,1059,0.1784702550,0.0000000000,0.4041548631,0.0000000000,0.0084985836,0.0018885741,0.1095372993,0.0000000000,0.0000000000,0.1067044381,0.0519357885,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0028328612,0.0000000000,0.0377714825,0.0037771483,0.0000000000,0.0000000000,0.0000000000,0.0944287063,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
