condition,n_conversations,n_units,Statement,Opinion,Backchannel,YesNoQuestion,WhQuestion/OpenQuestion,Agreement,Answer,Directive,Repair/Hedge,Abandoned/Other
SB-gold,1155,223606,0.3913311807,0.1415167750,0.2077985385,0.0304285216,0.0157106697,0.0513716090,0.0291539583,0.0042261836,0.0186757064,0.1097868572
SB-tagger,1155,223606,0.4564636012,0.1411008649,0.2669516918,0.0320027191,0.0165246013,0.0284920798,0.0123207785,0.0048612291,0.0216004937,0.0196819406
C1-P0,50,1888,0.2362288136,0.2579449153,0.0768008475,0.0587923729,0.1101694915,0.1159957627,0.0042372881,0.0090042373,0.0047669492,0.1260593220
C1-P1,50,1503,0.2481703260,0.2488356620,0.0891550233,0.0578842315,0.1071190951,0.1164337991,0.0013306720,0.0019960080,0.0019960080,0.1270791750
C1-P2,50,1491,0.2193158954,0.2199865862,0.0938967136,0.0623742455,0.1113346747,0.1247484909,0.0013413816,0.0040241449,0.0060362173,0.1569416499
C2-P0,50,1981,0.1443715295,0.5769813226,0.0429076224,0.0237253912,0.0368500757,0.0868248359,0.0000000000,0.0045431600,0.0025239778,0.0812720848
C2-P1,50,1999,0.2526263132,0.3141570785,0.0585292646,0.0815407704,0.1225612806,0.0580290145,0.0015007504,0.0100050025,0.0020010005,0.0990495248
C2-P2,50,2020,0.2608910891,0.2896039604,0.0460396040,0.0980198020,0.1222772277,0.0752475248,0.0014851485,0.0128712871,0.0064356436,0.0871287129
C3-P0,50,1930,0.1352331606,0.3243523316,0.0813471503,0.0528497409,0.0658031088,0.1181347150,0.0005181347,0.0150259067,0.0077720207,0.1989637306
C3-P1,50,1628,0.1566339066,0.2555282555,0.0761670762,0.0847665848,0.0835380835,0.1074938575,0.0012285012,0.0079852580,0.0042997543,0.2223587224
C3-P2,50,1763,0.1452070335,0.2847419172,0.0850822462,0.0720363018,0.0788428815,0.1208167896,0.0000000000,0.0051049348,0.0068065797,0.2013613159
C4-P0,50,2179,0.1441027994,0.3648462598,0.1009637448,0.0335016062,0.0596603947,0.1326296466,0.0004589261,0.0114731528,0.0050481872,0.1473152822
C4-P1,50,1858,0.1560818084,0.2583423036,0.1135629709,0.0640473628,0.0688912809,0.1259418730,0.0005382131,0.0059203445,0.0043057051,0.2023681378
C4-P2,50,1933,0.1500258665,0.2891877910,0.1060527677,0.0713916192,0.0724262804,0.1251939990,0.0036213140,0.0046559752,0.0036213140,0.1738230729
