condition,label_set,view,jsd_dist,jsd_transition,noise_floor_p95,exceeds_floor,assistant_register_fraction,n_conversations,n_units
SB,fine,gold_human_reference,0.0000000000,0.0000000000,,,,,223606
SB,fine,gold_vs_tagger_human_calibration,0.0702962407,0.4251807393,,,,,223606
C1-P0,fine,tagger_human_vs_tagger_llm_primary,0.2622321785,0.5486780033,0.0039667439,true,0.0307203390,50,1888
C1-P1,fine,tagger_human_vs_tagger_llm_primary,0.2793344491,0.6096770053,0.0050691253,true,0.0452428476,50,1503
C1-P2,fine,tagger_human_vs_tagger_llm_primary,0.2787385102,0.6584766596,0.0049973089,true,0.0281690141,50,1491
C2-P0,fine,tagger_human_vs_tagger_llm_primary,0.3380557527,0.6527890341,0.0037830012,true,0.0363452802,50,1981
C2-P1,fine,tagger_human_vs_tagger_llm_primary,0.2546404504,0.5472873889,0.0039565712,true,0.0200100050,50,1999
C2-P2,fine,tagger_human_vs_tagger_llm_primary,0.2578966241,0.5984223776,0.0038469842,true,0.0108910891,50,2020
C3-P0,fine,tagger_human_vs_tagger_llm_primary,0.3463031097,0.6378964369,0.0039690501,true,0.0103626943,50,1930
C3-P1,fine,tagger_human_vs_tagger_llm_primary,0.3375853855,0.6788648799,0.0045650199,true,0.0165847666,50,1628
C3-P2,fine,tagger_human_vs_tagger_llm_primary,0.3410732729,0.6531252501,0.0043413473,true,0.0107770845,50,1763
C4-P0,fine,tagger_human_vs_tagger_llm_primary,0.3282877043,0.5999158306,0.0035506669,true,0.0123910050,50,2179
C4-P1,fine,tagger_human_vs_tagger_llm_primary,0.3392389175,0.6359040598,0.0040802468,true,0.0113024758,50,1858
C4-P2,fine,tagger_human_vs_tagger_llm_primary,0.3371181079,0.5632595106,0.0039662960,true,0.0098292809,50,1933
SB,coarse,gold_human_reference,0.0000000000,0.0000000000,,,,,223606
SB,coarse,gold_vs_tagger_human_calibration,0.0344514845,0.0856911377,,,,,223606
C1-P0,coarse,tagger_human_vs_tagger_llm_primary,0.1671165743,0.2219237942,0.0016646810,true,0.0307203390,50,1888
C1-P1,coarse,tagger_human_vs_tagger_llm_primary,0.1596864872,0.2275909768,0.0020535256,true,0.0452428476,50,1503
C1-P2,coarse,tagger_human_vs_tagger_llm_primary,0.1745109154,0.2824516304,0.0020561759,true,0.0281690141,50,1491
C2-P0,coarse,tagger_human_vs_tagger_llm_primary,0.2702454538,0.3636223627,0.0015333613,true,0.0363452802,50,1981
C2-P1,coarse,tagger_human_vs_tagger_llm_primary,0.1745390521,0.2210972165,0.0016242281,true,0.0200100050,50,1999
C2-P2,coarse,tagger_human_vs_tagger_llm_primary,0.1785072678,0.2033218758,0.0015904239,true,0.0108910891,50,2020
C3-P0,coarse,tagger_human_vs_tagger_llm_primary,0.2360998630,0.3095573231,0.0016226046,true,0.0103626943,50,1930
C3-P1,coarse,tagger_human_vs_tagger_llm_primary,0.2324957662,0.3340947360,0.0019879988,true,0.0165847666,50,1628
C3-P2,coarse,tagger_human_vs_tagger_llm_primary,0.2299450747,0.3137404611,0.0017251405,true,0.0107770845,50,1763
C4-P0,coarse,tagger_human_vs_tagger_llm_primary,0.2120013631,0.2912869708,0.0014459026,true,0.0123910050,50,2179
C4-P1,coarse,tagger_human_vs_tagger_llm_primary,0.2038382313,0.2661582530,0.0016210427,true,0.0113024758,50,1858
C4-P2,coarse,tagger_human_vs_tagger_llm_primary,0.2038421536,0.2188190189,0.0016257036,true,0.0098292809,50,1933
