condition,label_set,unit_count,repetitions,seed,mean_jsd,p95_jsd
C1-P0,fine,1888,1000,20260714,0.0027113297,0.0039667439
C1-P1,fine,1503,1000,20260714,0.0034225876,0.0050691253
C1-P2,fine,1491,1000,20260714,0.0034255346,0.0049973089
C2-P0,fine,1981,1000,20260714,0.0025597881,0.0037830012
C2-P1,fine,1999,1000,20260714,0.0025953017,0.0039565712
C2-P2,fine,2020,1000,20260714,0.0025318754,0.0038469842
C3-P0,fine,1930,1000,20260714,0.0026453035,0.0039690501
C3-P1,fine,1628,1000,20260714,0.0031242432,0.0045650199
C3-P2,fine,1763,1000,20260714,0.0028757475,0.0043413473
C4-P0,fine,2179,1000,20260714,0.0023498324,0.0035506669
C4-P1,fine,1858,1000,20260714,0.0027533878,0.0040802468
C4-P2,fine,1933,1000,20260714,0.0026306261,0.0039662960
C1-P0,coarse,1888,1000,20260714,0.0008843673,0.0016646810
C1-P1,coarse,1503,1000,20260714,0.0011051997,0.0020535256
C1-P2,coarse,1491,1000,20260714,0.0011226878,0.0020561759
C2-P0,coarse,1981,1000,20260714,0.0008198969,0.0015333613
C2-P1,coarse,1999,1000,20260714,0.0008439970,0.0016242281
C2-P2,coarse,2020,1000,20260714,0.0008503512,0.0015904239
C3-P0,coarse,1930,1000,20260714,0.0008671553,0.0016226046
C3-P1,coarse,1628,1000,20260714,0.0010246181,0.0019879988
C3-P2,coarse,1763,1000,20260714,0.0009445456,0.0017251405
C4-P0,coarse,2179,1000,20260714,0.0007653075,0.0014459026
C4-P1,coarse,1858,1000,20260714,0.0008844761,0.0016210427
C4-P2,coarse,1933,1000,20260714,0.0008722982,0.0016257036
