condition,n_units,rule_backchannel_rate,tagger_backchannel_rate,rule_question_rate,tagger_question_rate
SB,223606,0.19063441946996054,0.2669516918,0.03707861148627497,0.0536434622
C1-P0,1888,0.006355932203389831,0.0768008475,0.16896186440677965,0.1705508475
C1-P1,1503,0.0006653359946773121,0.0891550233,0.16833000665335995,0.1689953426
C1-P2,1491,0.0053655264922870555,0.0938967136,0.18175720992622402,0.1770623742
C2-P0,1981,0.0010095911155981827,0.0429076224,0.06057546693589096,0.0615850581
C2-P1,1999,0.002001000500250125,0.0585292646,0.2066033016508254,0.2051025513
C2-P2,2020,0.0009900990099009901,0.0460396040,0.22326732673267327,0.2202970297
C3-P0,1930,0.0010362694300518134,0.0813471503,0.11658031088082901,0.1186528497
C3-P1,1628,0.0018427518427518428,0.0761670762,0.17137592137592136,0.1707616708
C3-P2,1763,0.003403289846851957,0.0850822462,0.14917753828701077,0.1514463982
C4-P0,2179,0.0027535566773749425,0.1009637448,0.0945387792565397,0.0940798531
C4-P1,1858,0.0016146393972012918,0.1135629709,0.13455328310010764,0.1367061356
C4-P2,1933,0.0015519917227108122,0.1060527677,0.14433523021210554,0.1443352302
