label_set,act,gold_rate,tagger_rate,jsd_contribution
fine,sd,0.3865996440,0.4549654303,0.0020053175
fine,b,0.1752457447,0.2403334436,0.0036918842
fine,sv,0.1415167750,0.1411008649,0.0000002208
fine,%,0.0720776723,0.0000000000,0.0360388362
fine,aa,0.0504145685,0.0284920798,0.0022259212
fine,ba,0.0219135444,0.0215021064,0.0000014063
fine,qy,0.0289795444,0.0291092368,0.0000001044
fine,x,0.0166811266,0.0000000000,0.0083405633
fine,ny,0.0136132304,0.0000000000,0.0068066152
fine,fc,0.0119003962,0.0093378532,0.0001117884
fine,qw,0.0097224583,0.0111356583,0.0000345605
fine,nn,0.0061760418,0.0112653507,0.0005434849
fine,bk,0.0058629912,0.0000000000,0.0029314956
fine,h,0.0057109380,0.0061089595,0.0000048350
fine,fo,0.0068871139,0.0091813279,0.0001185479
fine,bh,0.0047762582,0.0051161418,0.0000042127
fine,^q,0.0047315367,0.0014981709,0.0006358939
fine,bf,0.0049014785,0.0024283785,0.0003069428
fine,na,0.0040025760,0.0000670823,0.0017881820
fine,ad,0.0036850532,0.0045392342,0.0000320553
fine,^2,0.0036358595,0.0098610950,0.0010758497
fine,qo,0.0030410633,0.0030097582,0.0000000584
fine,qh,0.0029471481,0.0023791848,0.0000218853
fine,^h,0.0025804317,0.0021198000,0.0000163080
fine,ng,0.0014266165,0.0009883456,0.0000288469
fine,br,0.0013729506,0.0007915709,0.0000570188
fine,fp,0.0010062342,0.0008184038,0.0000069862
fine,qrr,0.0010285949,0.0028934823,0.0003331134
fine,arp,0.0010107063,0.0000000000,0.0005053532
fine,t3,0.0005277139,0.0000000000,0.0002638570
fine,oo,0.0005411304,0.0003219949,0.0000202876
fine,aap,0.0004785203,0.0000000000,0.0002392601
fine,bd,0.0004785203,0.0000000000,0.0002392601
fine,t1,0.0004740481,0.0002906899,0.0000160119
fine,^g,0.0004203823,0.0000000000,0.0002101911
fine,fa,0.0003533000,0.0003443557,0.0000000414
fine,ft,0.0003533000,0.0000000000,0.0001766500
fine,ar,0.0015920861,0.0000000000,0.0007960430
fine,no,0.0013327013,0.0000000000,0.0006663506
coarse,Statement,0.3913311807,0.4564636012,0.0018065345
coarse,Opinion,0.1415167750,0.1411008649,0.0000002208
coarse,Backchannel,0.2077985385,0.2669516918,0.0026652285
coarse,YesNoQuestion,0.0304285216,0.0320027191,0.0000143178
coarse,WhQuestion/OpenQuestion,0.0157106697,0.0165246013,0.0000074132
coarse,Agreement,0.0513716090,0.0284920798,0.0023975127
coarse,Answer,0.0291539583,0.0123207785,0.0025366757
coarse,Directive,0.0042261836,0.0048612291,0.0000160191
coarse,Repair/Hedge,0.0186757064,0.0216004937,0.0000766720
coarse,Abandoned/Other,0.1097868572,0.0196819406,0.0249308902
