source,architecture,prompt_level,n_conversations,CED,min_distance,max_distance,mean_nn_distance,min_nn_distance,condition
LLM,C1,P0,50,0.3769894433008954,0.2035575403692902,0.7207994999601492,0.16321669834414282,0.06064421326805425,C1-P0
LLM,C1,P1,27,0.3690245161874569,0.20929346766406398,0.6102759626889909,0.24526898863358731,0.0846207337753464,C1-P1
LLM,C2,P0,50,0.3726092405154361,0.22914220828831033,0.793413665107064,0.143370680007172,0.040211451011209265,C2-P0
LLM,C2,P1,50,0.32750274899155507,0.20189586889224065,0.637954541005697,0.17682480463778133,0.05746700314863684,C2-P1
LLM,C2,P2,50,0.34440175946309504,0.16857185210874748,0.5928794031841726,0.17231494980131518,0.05538386610278123,C2-P2
LLM,C3,P0,50,0.3238877832474982,0.17489392699897077,0.6509437498767755,0.15223550976012726,0.05348237275223244,C3-P0
LLM,C3,P1,50,0.3345271308657213,0.20175028370311499,0.6322322765259187,0.14381126722895748,0.052066362425578605,C3-P1
LLM,C3,P2,50,0.3359849346835906,0.1828246034026506,0.6032412055646632,0.16096626366839384,0.05356418376854688,C3-P2
LLM,C4,P0,50,0.3303397277978012,0.1676125809916823,0.675789226867735,0.13781009120890028,0.031239939702411124,C4-P0
LLM,C4,P1,50,0.32180592294064836,0.18775719229818766,0.6127709477247696,0.13417693951270268,0.05093240863410031,C4-P1
LLM,C4,P2,50,0.3282107605217089,0.18146836668663535,0.6418448085285913,0.14194627156167763,0.06232280182081418,C4-P2
SB,SB,SB,50,0.12937968579500136,0.04761715631075103,0.5533450670113608,0.10938147309647187,0.05462121092330352,SB
